tas,"	Year", Month, Country, ISO3, ISO2
25.4428,1901,1,BRA,,
25.6852,1901,2,BRA,,
25.4134,1901,3,BRA,,
24.6807,1901,4,BRA,,
24.2498,1901,5,BRA,,
23.6233,1901,6,BRA,,
23.9889,1901,7,BRA,,
24.5464,1901,8,BRA,,
25.4163,1901,9,BRA,,
25.9019,1901,10,BRA,,
25.3493,1901,11,BRA,,
25.2841,1901,12,BRA,,
25.4154,1902,1,BRA,,
25.878,1902,2,BRA,,
25.5431,1902,3,BRA,,
25.2931,1902,4,BRA,,
24.7728,1902,5,BRA,,
24.3457,1902,6,BRA,,
24.0495,1902,7,BRA,,
23.6911,1902,8,BRA,,
25.408,1902,9,BRA,,
25.5335,1902,10,BRA,,
25.9746,1902,11,BRA,,
26.0127,1902,12,BRA,,
25.3233,1903,1,BRA,,
25.7234,1903,2,BRA,,
25.7457,1903,3,BRA,,
25.0774,1903,4,BRA,,
24.1325,1903,5,BRA,,
24.0238,1903,6,BRA,,
23.7238,1903,7,BRA,,
24.1607,1903,8,BRA,,
25.2533,1903,9,BRA,,
25.3112,1903,10,BRA,,
25.4216,1903,11,BRA,,
25.7167,1903,12,BRA,,
25.0649,1904,1,BRA,,
25.4235,1904,2,BRA,,
25.2458,1904,3,BRA,,
24.9627,1904,4,BRA,,
23.6202,1904,5,BRA,,
23.057,1904,6,BRA,,
23.413,1904,7,BRA,,
23.8104,1904,8,BRA,,
24.9,1904,9,BRA,,
25.1578,1904,10,BRA,,
25.3359,1904,11,BRA,,
25.2219,1904,12,BRA,,
25.1291,1905,1,BRA,,
25.4753,1905,2,BRA,,
24.9352,1905,3,BRA,,
24.6405,1905,4,BRA,,
24.6035,1905,5,BRA,,
23.8587,1905,6,BRA,,
23.4819,1905,7,BRA,,
24.1923,1905,8,BRA,,
25.0692,1905,9,BRA,,
26.2031,1905,10,BRA,,
25.6534,1905,11,BRA,,
25.7393,1905,12,BRA,,
25.2387,1906,1,BRA,,
25.3513,1906,2,BRA,,
25.3431,1906,3,BRA,,
24.9139,1906,4,BRA,,
24.5172,1906,5,BRA,,
23.0143,1906,6,BRA,,
23.6138,1906,7,BRA,,
24.4442,1906,8,BRA,,
24.8271,1906,9,BRA,,
25.6293,1906,10,BRA,,
25.668,1906,11,BRA,,
25.5985,1906,12,BRA,,
25.2071,1907,1,BRA,,
25.4104,1907,2,BRA,,
25.713,1907,3,BRA,,
25.0019,1907,4,BRA,,
23.9344,1907,5,BRA,,
23.6279,1907,6,BRA,,
22.872,1907,7,BRA,,
23.7429,1907,8,BRA,,
25.2631,1907,9,BRA,,
25.4562,1907,10,BRA,,
25.5677,1907,11,BRA,,
25.8325,1907,12,BRA,,
25.6288,1908,1,BRA,,
25.9109,1908,2,BRA,,
25.5208,1908,3,BRA,,
25.1811,1908,4,BRA,,
24.4295,1908,5,BRA,,
23.7783,1908,6,BRA,,
23.9447,1908,7,BRA,,
23.624,1908,8,BRA,,
25.3185,1908,9,BRA,,
25.1056,1908,10,BRA,,
25.3861,1908,11,BRA,,
25.8156,1908,12,BRA,,
25.7951,1909,1,BRA,,
25.8793,1909,2,BRA,,
25.5469,1909,3,BRA,,
25.1736,1909,4,BRA,,
23.6469,1909,5,BRA,,
23.4954,1909,6,BRA,,
23.5171,1909,7,BRA,,
24.2436,1909,8,BRA,,
25.1402,1909,9,BRA,,
25.3059,1909,10,BRA,,
25.4995,1909,11,BRA,,
25.3486,1909,12,BRA,,
25.5646,1910,1,BRA,,
25.6468,1910,2,BRA,,
25.1937,1910,3,BRA,,
25.1564,1910,4,BRA,,
23.5008,1910,5,BRA,,
23.8132,1910,6,BRA,,
23.5883,1910,7,BRA,,
24.4406,1910,8,BRA,,
25.2904,1910,9,BRA,,
25.2594,1910,10,BRA,,
25.3558,1910,11,BRA,,
25.349,1910,12,BRA,,
25.2726,1911,1,BRA,,
25.7826,1911,2,BRA,,
24.8326,1911,3,BRA,,
24.8378,1911,4,BRA,,
24.2726,1911,5,BRA,,
23.0571,1911,6,BRA,,
23.0756,1911,7,BRA,,
23.9917,1911,8,BRA,,
24.9372,1911,9,BRA,,
25.3857,1911,10,BRA,,
26.0043,1911,11,BRA,,
25.8802,1911,12,BRA,,
25.5096,1912,1,BRA,,
25.6529,1912,2,BRA,,
25.6174,1912,3,BRA,,
25.2739,1912,4,BRA,,
24.4871,1912,5,BRA,,
23.6283,1912,6,BRA,,
22.413,1912,7,BRA,,
24.2288,1912,8,BRA,,
24.2782,1912,9,BRA,,
